algorithm,num,model,param,accuracy,precision,recall,f1,auc
logistic,5,H1->self,,0.6587,0.6207,0.4449,0.5171,0.6625
logistic,5,H3->self,,0.6268,0.7753,0.4640,0.5803,0.6426
logistic,5,H5->self,,0.5461,0.8322,0.3389,0.4763,0.6275
logistic,5,H1->H3 50%val,l1_0.0001_liblinear,0.4438,0.0000,0.0000,0.0000,0.5000
logistic,5,H1->H3 50%test,l1_0.0001_liblinear,0.4440,0.0000,0.0000,0.0000,0.5000
logistic,5,H1->H5 50%val,l1_0.23357214690901212_liblinear,0.3836,0.0000,0.0000,0.0000,0.6821
logistic,5,H1->H5 50%test,l1_0.23357214690901212_liblinear,0.3878,0.0000,0.0000,0.0000,0.5845
logistic,5,H3->H1 50%val,l2_0.23357214690901212_liblinear,0.5776,0.4898,0.5304,0.5093,0.5301
logistic,5,H3->H1 50%test,l2_0.23357214690901212_liblinear,0.5365,0.4439,0.4807,0.4615,0.5100
logistic,5,H3->H5 50%val,l1_0.012742749857031334_liblinear,0.6164,0.6164,1.0000,0.7627,0.6556
logistic,5,H3->H5 50%test,l1_0.012742749857031334_liblinear,0.6122,0.6122,1.0000,0.7595,0.5997
logistic,5,H5->H1 50%val,l1_3792.690190732246_saga,0.4886,0.4433,0.9282,0.6000,0.6390
logistic,5,H5->H1 50%test,l1_3792.690190732246_saga,0.4977,0.4485,0.9392,0.6071,0.6190
logistic,5,H5->H3 50%val,l2_0.615848211066026_liblinear,0.5562,0.5562,1.0000,0.7148,0.5927
logistic,5,H5->H3 50%test,l2_0.615848211066026_liblinear,0.5560,0.5560,1.0000,0.7147,0.5837
logistic,5,H3H5->H1 50%val,l1_0.03359818286283781_saga,0.5913,0.5049,0.5691,0.5351,0.5565
logistic,5,H3H5->H1 50%test,l1_0.03359818286283781_saga,0.5411,0.4510,0.5083,0.4779,0.5282
logistic,5,H1H5->H3 50%val,l1_78.47599703514607_saga,0.6125,0.8520,0.3670,0.5131,0.5952
logistic,5,H1H5->H3 50%test,l1_78.47599703514607_saga,0.6098,0.8509,0.3615,0.5074,0.5830
logistic,5,H1H3->H5 50%val,l1_0.012742749857031334_saga,0.6164,0.6164,1.0000,0.7627,0.6556
logistic,5,H1H3->H5 50%test,l1_0.012742749857031334_saga,0.6122,0.6122,1.0000,0.7595,0.5997
logistic,10,H1->self,,0.6427,0.5736,0.5279,0.5488,0.6326
logistic,10,H3->self,,0.6299,0.7699,0.4772,0.5891,0.6605
logistic,10,H5->self,,0.5666,0.7907,0.4000,0.5305,0.6349
logistic,10,H1->H3 50%val,l1_10000.0_liblinear,0.6378,0.7570,0.5136,0.6120,0.6533
logistic,10,H1->H3 50%test,l1_10000.0_liblinear,0.6251,0.7362,0.5077,0.6010,0.6450
logistic,10,H1->H5 50%val,l1_206.913808111479_liblinear,0.3836,0.0000,0.0000,0.0000,0.6827
logistic,10,H1->H5 50%test,l1_206.913808111479_liblinear,0.4082,0.8000,0.0444,0.0842,0.5945
logistic,10,H3->H1 50%val,l1_11.288378916846883_liblinear,0.5753,0.4855,0.4641,0.4746,0.5212
logistic,10,H3->H1 50%test,l1_11.288378916846883_liblinear,0.5228,0.4239,0.4309,0.4274,0.4904
logistic,10,H3->H5 50%val,l1_0.03359818286283781_liblinear,0.6164,0.6164,1.0000,0.7627,0.6821
logistic,10,H3->H5 50%test,l1_0.03359818286283781_liblinear,0.6190,0.6164,1.0000,0.7627,0.5885
logistic,10,H5->H1 50%val,l1_3792.690190732246_saga,0.4886,0.4411,0.8895,0.5897,0.6323
logistic,10,H5->H1 50%test,l1_3792.690190732246_saga,0.4977,0.4466,0.9006,0.5971,0.6036
logistic,10,H5->H3 50%val,l2_1.623776739188721_liblinear,0.5562,0.5562,1.0000,0.7148,0.5651
logistic,10,H5->H3 50%test,l2_1.623776739188721_liblinear,0.5560,0.5560,1.0000,0.7147,0.5578
logistic,10,H3H5->H1 50%val,l1_0.615848211066026_liblinear,0.6050,0.6000,0.1326,0.2172,0.6237
logistic,10,H3H5->H1 50%test,l1_0.615848211066026_liblinear,0.6050,0.6053,0.1271,0.2100,0.5848
logistic,10,H1H5->H3 50%val,l1_11.288378916846883_saga,0.6344,0.7230,0.5554,0.6282,0.6490
logistic,10,H1H5->H3 50%test,l1_11.288378916846883_saga,0.6147,0.6971,0.5431,0.6105,0.6309
logistic,10,H1H3->H5 50%val,l1_0.03359818286283781_liblinear,0.6301,0.6364,0.9333,0.7568,0.6821
logistic,10,H1H3->H5 50%test,l1_0.03359818286283781_liblinear,0.5850,0.6124,0.8778,0.7215,0.5885
logistic,15,H1->self,,0.5913,0.5119,0.3921,0.4426,0.6143
logistic,15,H3->self,,0.6224,0.7371,0.4997,0.5954,0.6627
logistic,15,H5->self,,0.6793,0.8214,0.6111,0.7006,0.7528
logistic,15,H1->H3 50%val,l2_29.763514416313132_liblinear,0.4788,0.5785,0.2318,0.3310,0.6155
logistic,15,H1->H3 50%test,l2_29.763514416313132_liblinear,0.4763,0.5673,0.2449,0.3421,0.5901
logistic,15,H1->H5 50%val,l2_4.281332398719396_liblinear,0.3836,0.0000,0.0000,0.0000,0.7673
logistic,15,H1->H5 50%test,l2_4.281332398719396_liblinear,0.3878,0.0000,0.0000,0.0000,0.7378
logistic,15,H3->H1 50%val,l1_0.615848211066026_liblinear,0.6370,0.5598,0.5691,0.5644,0.6036
logistic,15,H3->H1 50%test,l1_0.615848211066026_liblinear,0.6050,0.5230,0.5028,0.5127,0.5658
logistic,15,H3->H5 50%val,l2_0.0001_liblinear,0.6164,0.6164,1.0000,0.7627,0.7659
logistic,15,H3->H5 50%test,l2_0.0001_liblinear,0.6122,0.6122,1.0000,0.7595,0.7337
logistic,15,H5->H1 50%val,l1_3792.690190732246_liblinear,0.6164,0.5230,0.8177,0.6379,0.6556
logistic,15,H5->H1 50%test,l1_3792.690190732246_liblinear,0.6027,0.5137,0.7238,0.6009,0.6468
logistic,15,H5->H3 50%val,l1_206.913808111479_liblinear,0.6335,0.6437,0.7637,0.6986,0.5943
logistic,15,H5->H3 50%test,l1_206.913808111479_liblinear,0.6217,0.6345,0.7539,0.6891,0.5829
logistic,15,H3H5->H1 50%val,l1_0.0001_liblinear,0.5868,0.0000,0.0000,0.0000,0.5000
logistic,15,H3H5->H1 50%test,l1_0.0001_liblinear,0.5868,0.0000,0.0000,0.0000,0.5000
logistic,15,H1H5->H3 50%val,l1_4.281332398719396_liblinear,0.5050,0.5834,0.3849,0.4638,0.5933
logistic,15,H1H5->H3 50%test,l1_4.281332398719396_liblinear,0.4941,0.5665,0.3842,0.4579,0.5730
logistic,15,H1H3->H5 50%val,l2_0.004832930238571752_liblinear,0.6164,0.6164,1.0000,0.7627,0.7690
logistic,15,H1H3->H5 50%test,l2_0.004832930238571752_liblinear,0.6122,0.6122,1.0000,0.7595,0.7413
logistic,20,H1->self,,0.5787,0.4909,0.4503,0.4686,0.6006
logistic,20,H3->self,,0.6659,0.8202,0.5121,0.6302,0.7515
logistic,20,H5->self,,0.7475,0.9304,0.6389,0.7555,0.8747
logistic,20,H1->H3 50%val,l2_0.615848211066026_liblinear,0.5754,0.8294,0.2980,0.4385,0.7152
logistic,20,H1->H3 50%test,l2_0.615848211066026_liblinear,0.5628,0.8030,0.2831,0.4186,0.7015
logistic,20,H1->H5 50%val,l2_1.623776739188721_liblinear,0.4041,1.0000,0.0333,0.0645,0.8778
logistic,20,H1->H5 50%test,l2_1.623776739188721_liblinear,0.4014,0.6667,0.0444,0.0833,0.8524
logistic,20,H3->H1 50%val,l1_0.08858667904100823_liblinear,0.6073,0.5164,0.7845,0.6228,0.6414
logistic,20,H3->H1 50%test,l1_0.08858667904100823_liblinear,0.5183,0.4449,0.6685,0.5342,0.5637
logistic,20,H3->H5 50%val,l2_0.004832930238571752_liblinear,0.8288,0.8824,0.8333,0.8571,0.8764
logistic,20,H3->H5 50%test,l2_0.004832930238571752_liblinear,0.8231,0.8478,0.8667,0.8571,0.8458
logistic,20,H5->H1 50%val,l2_1.623776739188721_saga,0.5251,0.4620,0.9061,0.6119,0.6122
